Player,Games Played,Avg FPTS,Projected Avg FPTS,Consistency Value,Injury Risk Value,Consistency and Injury Risk,Overall Score
nikola jokic,79.0,62.57,59.59,0.888,1.0,0.96,62.36
luka doncic,70.0,64.04,62.92,0.848,0.8889,0.88,61.34
shai gilgeous-alexander,75.0,56.81,55.81,0.94,0.9556,0.95,57.1
victor wembanyama,71.0,51.3,57.58,0.688,1.0,0.9,56.81
giannis antetokounmpo,73.0,58.22,56.27,0.845,0.9489,0.91,56.26
domantas sabonis,82.0,50.16,49.98,0.828,0.9889,0.94,52.71
anthony davis,76.0,55.32,52.31,0.828,0.8733,0.86,52.21
lebron james,71.0,51.9,50.46,0.87,0.86,0.86,49.11
joel embiid,39.0,62.03,61.8,0.828,0.74,0.77,48.45
jayson tatum,74.0,46.97,46.45,0.835,1.0,0.94,47.14
kevin durant,75.0,48.11,46.78,0.83,0.8578,0.85,46.3
de'aaron fox,74.0,46.92,46.4,0.702,0.96,0.87,46.01
jalen brunson,77.0,46.17,45.36,0.678,1.0,0.89,45.95
chet holmgren,82.0,39.56,44.59,0.648,0.8889,0.81,45.09
scottie barnes,60.0,45.52,47.55,0.8,0.9378,0.89,44.15
tyrese maxey,70.0,44.79,45.23,0.718,0.94,0.87,43.94
anthony edwards,79.0,42.58,43.0,0.622,1.0,0.87,43.7
dejounte murray,78.0,42.81,42.34,0.68,1.0,0.89,43.1
paolo banchero,80.0,37.95,41.55,0.725,1.0,0.91,42.99
donovan mitchell,55.0,48.75,48.21,0.74,0.9111,0.85,42.92
devin booker,68.0,46.65,44.43,0.728,0.9244,0.86,42.58
fred vanvleet,73.0,42.97,42.81,0.682,0.9556,0.86,42.09
alperen sengun,63.0,42.94,44.86,0.735,0.94,0.87,42.02
demar derozan,79.0,41.51,39.87,0.832,1.0,0.94,41.46
trae young,54.0,47.04,46.21,0.718,0.9178,0.85,40.92
kawhi leonard,68.0,45.94,43.44,0.822,0.7911,0.8,40.76
pascal siakam,80.0,39.08,38.94,0.825,1.0,0.94,40.68
jalen williams,71.0,37.69,41.27,0.675,1.0,0.89,40.57
bam adebayo,71.0,40.66,40.21,0.79,0.9533,0.9,39.67
steph curry,74.0,42.42,40.75,0.622,0.8822,0.8,39.45
kyrie irving,58.0,46.84,45.03,0.78,0.68,0.71,38.66
james harden,72.0,41.4,39.77,0.705,0.8778,0.82,38.37
jarrett allen,77.0,38.1,37.68,0.752,0.96,0.89,38.17
damian lillard,73.0,42.04,39.75,0.642,0.8556,0.78,38.02
zion williamson,70.0,40.49,40.89,0.688,0.7444,0.73,37.82
rudy gobert,76.0,38.47,37.18,0.748,0.9644,0.89,37.48
nikola vucevic,76.0,38.28,36.8,0.728,1.0,0.91,37.34
paul george,74.0,40.82,38.83,0.64,0.8556,0.78,37.33
jaylen brown,70.0,38.53,38.39,0.7,0.9467,0.86,37.17
derrick white,73.0,37.08,36.67,0.645,1.0,0.88,36.3
franz wagner,72.0,34.56,36.1,0.652,1.0,0.88,35.56
miles bridges,69.0,37.1,37.72,0.638,0.8667,0.79,35.45
jamal murray,59.0,41.93,41.47,0.665,0.6689,0.67,35.26
nic claxton,71.0,35.01,35.59,0.76,0.9511,0.89,35.0
cade cunningham,62.0,39.56,41.33,0.638,0.5756,0.6,34.79
cj mccollum,66.0,38.45,37.16,0.685,0.8889,0.82,34.75
kristaps porzingis,57.0,40.51,40.36,0.715,0.7178,0.72,34.59
coby white,79.0,33.78,34.34,0.568,0.9733,0.84,34.56
austin reaves,82.0,32.39,33.84,0.632,0.94,0.84,34.56
kyle kuzma,70.0,36.7,36.29,0.648,0.8844,0.81,34.54
evan mobley,50.0,38.46,40.18,0.675,0.9133,0.83,34.5
de'angelo russell,76.0,36.5,34.76,0.555,0.9644,0.83,34.35
jaren jackson jr,66.0,37.73,37.07,0.585,0.8733,0.78,34.17
daniel gafford,74.0,33.64,34.2,0.57,1.0,0.86,33.8
lauri markannen,55.0,40.15,39.71,0.682,0.7178,0.71,33.5
jalen johnson,56.0,37.34,39.01,0.59,0.7956,0.73,33.36
brandon ingram,64.0,37.88,37.74,0.642,0.7,0.68,33.15
keegan murray,77.0,30.48,33.37,0.482,1.0,0.83,33.14
devin vassell,68.0,34.88,35.22,0.572,0.9067,0.8,33.05
mikal bridges,82.0,32.77,32.2,0.538,1.0,0.85,32.99
jimmy butler,60.0,38.9,37.39,0.75,0.7422,0.74,32.85
brandon miller,74.0,28.85,33.44,0.53,1.0,0.84,32.82
jalen green,82.0,30.91,32.29,0.438,1.0,0.81,32.66
jalen duren,61.0,32.82,35.93,0.6,0.9222,0.81,32.59
myles turner,77.0,34.38,32.74,0.66,0.8933,0.82,32.41
desmond bane,42.0,41.38,41.78,0.588,0.7422,0.69,32.27
tobias harris,70.0,34.41,33.08,0.58,1.0,0.86,32.03
michael porter jr,81.0,31.21,31.73,0.555,0.8867,0.78,31.61
karl-anthony towns,62.0,37.58,35.79,0.605,0.7667,0.71,31.44
terry rozier,61.0,37.2,35.43,0.552,0.8444,0.75,31.42
brook lopez,79.0,31.95,31.06,0.612,0.96,0.84,31.26
jusuf nurkic,76.0,32.93,31.29,0.71,0.8756,0.82,30.81
josh giddey,80.0,29.14,30.44,0.582,0.9756,0.84,30.79
julius randle,46.0,38.63,36.7,0.7,0.9022,0.83,30.79
deni avdija,75.0,30.72,31.02,0.56,1.0,0.85,30.7
bogdan bogdanovic,79.0,30.78,30.44,0.632,0.9022,0.81,30.33
darius garland,57.0,33.51,34.07,0.635,0.9178,0.82,30.33
tyus jones,66.0,34.05,32.43,0.555,0.9556,0.82,30.32
deandre ayton,55.0,36.27,35.63,0.58,0.8111,0.73,30.3
collin sexton,78.0,31.65,31.09,0.565,0.84,0.75,30.21
immanuel quickley,68.0,31.35,31.66,0.532,1.0,0.84,30.13
donte divincenzo,81.0,30.56,30.02,0.458,0.9689,0.8,30.11
mike conley,76.0,30.45,29.61,0.675,1.0,0.89,29.85
lamelo ball,22.0,45.45,45.89,0.67,0.5889,0.62,29.81
jrue holiday,69.0,31.97,30.71,0.63,1.0,0.88,29.79
jordan poole,78.0,29.14,29.63,0.465,1.0,0.82,29.47
clint capela,73.0,30.88,29.34,0.81,0.9533,0.91,29.33
cam thomas,66.0,30.82,32.2,0.485,0.8489,0.73,29.14
aaron gordon,73.0,30.47,28.95,0.712,1.0,0.9,28.85
rj barrett,58.0,31.55,32.08,0.628,0.9267,0.83,28.82
tre jones,77.0,28.38,28.66,0.59,1.0,0.86,28.75
walker kessler,64.0,28.09,30.76,0.59,0.94,0.82,28.45
caris levert,68.0,30.31,30.2,0.542,0.9467,0.81,28.44
alex caruso,71.0,29.8,29.47,0.6,0.9378,0.83,28.39
grayson allen,75.0,29.52,29.0,0.5,0.9644,0.81,28.32
john collins,68.0,30.29,29.96,0.588,0.94,0.82,28.31
dennis schroder,80.0,29.2,28.22,0.552,0.9356,0.81,28.26
tyler herro,42.0,34.48,35.05,0.822,0.7556,0.78,28.12
brandin podzemski,74.0,24.12,28.8,0.452,1.0,0.82,28.07
herbert jones,76.0,27.37,28.59,0.507,0.9644,0.81,28.06
malik monk,72.0,29.31,28.99,0.488,1.0,0.83,28.06
ivica zubac,68.0,29.07,28.96,0.612,1.0,0.87,27.85
jonathan kuminga,74.0,27.24,28.46,0.49,1.0,0.83,27.84
isaiah hartenstein,75.0,28.61,28.11,0.55,1.0,0.85,27.82
jaden ivey,77.0,25.48,27.9,0.502,1.0,0.83,27.7
amen thompson,62.0,25.84,30.89,0.41,0.9178,0.75,27.55
jonas valanciunas,82.0,28.35,26.81,0.492,1.0,0.83,27.29
jaime jaquez jr,75.0,23.32,27.88,0.44,1.0,0.81,27.22
josh hart,81.0,27.42,27.12,0.455,0.9778,0.8,27.2
naz reid,81.0,26.4,26.84,0.488,1.0,0.83,27.19
klay thompson,77.0,28.47,27.52,0.528,0.9511,0.81,27.14
jakkob poeltl,50.0,31.96,31.84,0.615,0.9044,0.81,27.13
jeremy sochan,74.0,25.73,28.17,0.465,0.9422,0.78,27.09
max strus,70.0,27.61,28.07,0.525,1.0,0.84,26.99
trey murphy,57.0,29.61,30.93,0.528,0.8556,0.75,26.82
keldon johnson,69.0,28.06,28.53,0.485,0.9422,0.79,26.81
jalen suggs,75.0,26.71,27.9,0.548,0.8667,0.76,26.78
bobby portis,82.0,27.55,26.24,0.495,1.0,0.83,26.71
bradley beal,53.0,35.38,33.45,0.575,0.62,0.6,26.66
pj washington,73.0,26.67,27.11,0.445,0.96,0.79,26.03
ayo dosunmu,76.0,25.45,26.59,0.402,1.0,0.8,26.01
anfernee simons,46.0,34.78,34.17,0.51,0.6333,0.59,25.93
derrick lively,55.0,26.16,30.19,0.478,0.8911,0.75,25.87
ausar thompson,63.0,23.73,28.48,0.43,0.9222,0.76,25.64
buddy hield,84.0,25.0,24.91,0.438,1.0,0.81,25.44
ja morant,9.0,45.33,46.08,0.858,0.3578,0.52,25.41
kelly olynyk,78.0,26.46,25.57,0.507,0.9556,0.81,25.35
keyonte george,75.0,21.08,25.72,0.392,1.0,0.8,25.03
draymond green,55.0,30.98,29.29,0.518,0.8178,0.72,24.81
scoot henderson,62.0,22.92,27.5,0.395,0.9178,0.74,24.43
chris paul,58.0,29.48,28.66,0.588,0.72,0.68,24.32
khris middleton,55.0,31.71,29.98,0.615,0.6044,0.61,24.29
aaron nesmith,72.0,25.01,25.25,0.51,0.9533,0.81,24.28
trayce jackson-davis,68.0,21.22,25.92,0.362,1.0,0.79,24.23
kelly oubre jr,68.0,27.25,25.95,0.507,0.9222,0.78,24.18
og anunoby,50.0,29.52,29.19,0.625,0.78,0.73,24.1
jerami grant,54.0,31.13,29.58,0.53,0.6822,0.63,24.01
t.j mcconnell,71.0,26.39,25.13,0.5,0.9422,0.79,23.88
russell westbrook,68.0,25.59,24.88,0.488,1.0,0.83,23.59
al horford,65.0,26.58,25.84,0.515,0.86,0.74,23.35
santi aldama,61.0,25.1,26.22,0.512,0.8444,0.73,23.08
saddiq bey,63.0,24.78,25.02,0.572,0.9467,0.82,23.02
corey kispret,80.0,21.98,22.96,0.44,1.0,0.81,22.99
nick richards,67.0,24.63,24.87,0.57,0.86,0.76,22.88
malcolm brogdon,39.0,31.03,30.92,0.47,0.7156,0.63,22.8
rui hachimura,68.0,24.47,24.88,0.445,0.8533,0.72,22.68
kentavious caldwell-pope,76.0,23.57,22.78,0.52,1.0,0.84,22.58
cole anthony,81.0,22.57,22.79,0.425,0.9267,0.76,22.55
onyeka okongwu,55.0,25.8,26.05,0.628,0.8356,0.77,22.5
obi toppin,82.0,22.01,22.23,0.442,1.0,0.81,22.48
paul reed,82.0,22.09,22.31,0.4,0.9667,0.78,22.33
zach lavine,25.0,33.28,31.62,0.51,0.8489,0.74,22.27
lu dort,79.0,22.1,22.47,0.438,0.9711,0.79,22.24
andrew nembhard,68.0,21.31,23.33,0.492,1.0,0.83,22.13
gary trent jr,71.0,23.73,23.31,0.425,0.9489,0.77,21.99
gg jackson,48.0,22.38,27.24,0.34,0.8622,0.69,21.85
mark williams,19.0,31.95,34.98,0.652,0.5533,0.59,21.85
vince williams jr,52.0,25.25,27.65,0.425,0.6556,0.58,21.71
cameron johnson,58.0,25.74,26.17,0.525,0.6578,0.61,21.59
payton pritchard,82.0,21.56,21.77,0.338,0.9533,0.75,21.58
spencer dinwiddie,76.0,23.25,22.09,0.38,1.0,0.79,21.53
royce oneal,79.0,21.81,21.57,0.4,1.0,0.8,21.42
jordan clarkson,55.0,26.93,25.58,0.412,0.8156,0.68,21.33
malik beasley,79.0,21.41,21.33,0.458,1.0,0.82,21.32
cason wallace,82.0,17.46,21.07,0.428,1.0,0.81,21.31
duncan robinson,68.0,23.53,23.12,0.38,0.9156,0.74,21.23
bruce brown,67.0,22.81,22.41,0.478,1.0,0.83,21.14
zach collins,69.0,23.36,22.95,0.492,0.8467,0.73,21.11
bennedict mathurin,59.0,22.02,24.11,0.34,0.9333,0.74,21.06
grant williams,76.0,21.09,21.44,0.382,1.0,0.79,20.9
de’andre hunter,57.0,24.16,24.56,0.472,0.8178,0.7,20.88
shaedon sharpe,32.0,25.97,28.43,0.428,0.8622,0.72,20.83
tim hardaway,79.0,21.76,21.03,0.382,0.9622,0.77,20.67
duop reath,68.0,17.74,22.11,0.328,1.0,0.78,20.6
marcus sasser,71.0,17.39,21.75,0.352,1.0,0.78,20.59
andre drummond,79.0,21.92,20.73,0.4,1.0,0.8,20.58
bilal coulibaly,63.0,19.41,22.81,0.438,0.9222,0.76,20.53
andrew wiggins,71.0,22.9,21.76,0.392,0.9156,0.74,20.3
kyle anderson,79.0,21.1,20.05,0.512,1.0,0.84,20.17
norm powell,76.0,21.83,20.79,0.532,0.8867,0.77,20.13
de’anthony melton,38.0,26.26,25.8,0.56,0.8822,0.77,20.1
toumani camara,70.0,18.03,20.96,0.495,1.0,0.83,20.09
jaden mcdaniels,72.0,20.54,20.74,0.478,1.0,0.83,20.08
tari eason,22.0,26.14,28.62,0.625,0.8378,0.77,20.02
simone fontecchio,66.0,20.45,22.39,0.382,0.8311,0.68,19.89
precious achiuwa,74.0,20.54,20.74,0.398,0.9444,0.76,19.8
kevin huerter,64.0,22.27,21.88,0.37,0.9444,0.75,19.73
dillon brooks,72.0,21.1,20.87,0.402,0.9444,0.76,19.72
jabari walker,72.0,19.03,20.84,0.408,0.9378,0.76,19.69
wendell carter jr,55.0,24.25,23.82,0.528,0.6867,0.63,19.46
harrison barnes,82.0,20.33,19.22,0.392,1.0,0.8,19.38
sam hauser,79.0,18.77,19.61,0.398,0.9667,0.78,19.34
dyson daniels,61.0,20.16,22.07,0.45,0.8244,0.7,19.21
eric gordon,68.0,21.38,20.79,0.385,0.94,0.75,19.16
caleb martin,64.0,20.92,21.27,0.475,0.8667,0.74,19.11
nickeil alexander-walker,82.0,18.95,19.27,0.378,0.9311,0.75,19.1
dorian finney-smith,68.0,20.47,20.39,0.462,0.9444,0.78,19.0
jalen smith,61.0,21.28,21.49,0.512,0.8378,0.73,18.91
kyle lowry,60.0,22.87,22.24,0.502,0.7178,0.65,18.87
moritz wagner,80.0,19.56,19.22,0.438,0.9133,0.75,18.86
